A,"Agilent Technologies",69.47,-0.030000000000001,-0.04%,69.55,69.65,500,"09:32 ET"
AAL,"American Airlines Gp",30.59,-0.65,-2.08%,31.1,31.24,11797,"09:34 ET"
AAP,"Advance Auto Parts Inc",151.49,-1.13,-0.74%,152.09,149.5,881500,07/29/19
AAPL,"Apple Inc",209.24,1.5,+0.72%,209.26,208.42,90601,"09:34 ET"
ABBV,"Abbvie Inc",68.17,0.41,+0.61%,68.41,67.8,7606,"09:33 ET"
ABC,"Amerisourcebergen Corp",86.6,0.47999999999999,+0.56%,86.6,85.58,723300,07/29/19
ABMD,"Abiomed Inc",270.69,-1.97,-0.72%,273,271.02,299000,07/29/19
ABT,"Abbott Laboratories",87.85,0.099999999999994,+0.11%,88.08,88,647,"09:33 ET"
ACN,"Accenture Plc",197.19,0.25999999999999,+0.13%,197.21,198.45,202,"09:34 ET"
ADBE,"Adobe Systems Inc",309.99,-1.28,-0.41%,311.74,311.11,479,"09:34 ET"
ADI,"Analog Devices",122.06,0.26000000000001,+0.21%,122.54,121.71,1372800,07/29/19
ADM,"Archer Daniels Midland",40.77,0.18,+0.44%,40.85,40.51,2080100,07/29/19
ADP,"Automatic Data Procs",169.19,-0.080000000000013,-0.05%,169.23,167.31,1035400,07/29/19
ADS,"Alliance Data Systems Corp",158.87,2.23,+1.42%,159.18,157.16,525100,07/29/19
ADSK,"Autodesk Inc",167.26,-0.73000000000002,-0.43%,168.29,167.99,399,"09:33 ET"
AEE,"Ameren Corp",76.73,0.14,+0.18%,76.91,75.91,1120500,07/29/19
AEP,"American Electric Power Company",89.18,0.23,+0.26%,89.43,88.64,2176500,07/29/19
AES,"The Aes Corp",16.98,0.039999999999999,+0.24%,17.05,16.84,3677700,07/29/19
AFL,"Aflac Incorporated",53.79,-0.1,-0.19%,53.82,53.58,411,"09:34 ET"
AGN,"Allergan Plc",161.92,0.94,+0.58%,162.14,160.75,6909900,07/29/19
AIG,"American International Group",57.06,-0.21,-0.37%,57.15,56.8,2899200,07/29/19
AIV,"Apartment Investment and Management",49.84,0.19,+0.38%,50.13,49.5,1228600,07/26/19
AIZ,"Assurant Inc",114.42,1.06,+0.94%,114.73,112.82,389000,07/26/19
AJG,"Arthur J. Gallagher & CO",92.27,-0.060000000000002,-0.06%,92.3,90.26,1395800,07/29/19
AKAM,"Akamai Technologies",84.35,0.42999999999999,+0.51%,84.35,83.08,934600,07/29/19
ALB,"Albemarle Corp",74.54,-0.039999999999992,-0.05%,74.54,73.37,930500,07/29/19
ALGN,"Align Technology",199.15,0.31,+0.16%,199.18,199.01,928,"09:32 ET"
ALK,"Alaska Air Group",63.22,-1.7,-2.62%,64.5,64.08,1637800,07/29/19
ALL,"Allstate Corp",102.87,-0.060000000000002,-0.06%,102.87,101.52,893700,07/29/19
ALLE,"Allegion Plc",105.26,0.45,+0.43%,105.6,103.69,858100,07/26/19
ALXN,"Alexion Pharm Inc",112.06,-2.57,-2.24%,114.85,115.98,310,"09:33 ET"
AMAT,"Applied Materials",50.47,-0.27,-0.53%,50.6,50.37,1493,"09:34 ET"
AMD,"Adv Micro Devices",33.94,-0.080000000000005,-0.24%,34.3,34.21,369024,"09:34 ET"
AME,"Amtek Inc",88.6,-0.68000000000001,-0.76%,88.69,89.15,100,"09:34 ET"
AMG,"Affiliated Managers Group",90.05,0,0.00%,90.05,90.05,1421,"09:02 ET"
AMGN,"Amgen Inc",175.3,-0.039999999999992,-0.02%,175.74,176.09,166,"09:34 ET"
AMP,"Ameriprise Financial Services",149.97,0.039999999999992,+0.03%,149.97,146.22,1020300,07/26/19
AMT,"American Tower Corp",204.38,-0.21000000000001,-0.10%,204.94,203.65,1336700,07/29/19
AMZN,"Amazon.com Inc",1919.6,-23.45,-1.21%,1940.89,1934.5,19313,"09:34 ET"
ANET,"Arista Networks Inc",270.11,-2.87,-1.05%,272.65,273,564,"09:33 ET"
ANSS,"Ansys Inc",213,-0.15000000000001,-0.07%,213.01,212.95,222700,07/29/19
ANTM,"Anthem Inc",299.72,-0.25999999999999,-0.09%,300.07,292.62,1123300,07/29/19
AON,"AON Plc",194.48,-0.080000000000013,-0.04%,194.48,192.97,1851000,07/29/19
AOS,"Smith [A.O.] Corp",45.06,0.18,+0.40%,45.06,44.36,2323600,07/29/19
APA,"Apache Corp",23.75,-0.18,-0.75%,23.79,23.99,307,"09:33 ET"
APC,"Anadarko Petroleum Corp",73.57,-0.050000000000011,-0.07%,73.6,73.45,6380700,07/29/19
APD,"Air Products and Chemicals",229.64,-0.91000000000003,-0.39%,230.22,226.11,2272400,07/29/19
APH,"Amphenol Corp",95.23,-0.049999999999997,-0.05%,95.3,93.71,1706000,07/29/19
APTV,"Aptiv Plc",81.89,-0.51000000000001,-0.62%,82.09,81.07,1491800,07/29/19
ARE,"Alexandria Real Estate Equities",143.9,0.44,+0.31%,143.9,142.66,814500,07/29/19
ARNC,"Arconic Inc",25.7,-0.039999999999999,-0.16%,25.78,25.54,1701400,07/29/19
ATO,"Atmos Energy Corp",108.13,1.02,+0.95%,108.53,107.05,505100,07/26/19
ATVI,"Activision Blizzard",47.97,-0.020000000000003,-0.04%,48.2,47.95,1039,"09:33 ET"
AVB,"Avalonbay Communities",208.38,1.53,+0.74%,208.49,206.48,527800,07/26/19
AVGO,"Broadcom Ltd",300.6,-0.31999999999999,-0.11%,301.86,285.15,555,"09:33 ET"
AVY,"Avery Dennison Corp",116.9,-0.28999999999999,-0.25%,116.97,115.5,424600,07/29/19
AWK,"American Water Works",115.37,0.28,+0.24%,115.5,113.47,637600,07/29/19
AXP,"American Express Company",126.72,-0.060000000000002,-0.05%,126.95,126.3,4236100,07/29/19
AZO,Autozone,1141.33,-4.8500000000001,-0.42%,1144.83,1142.49,233800,07/29/19
BA,"Boeing Company",345.15,0.14999999999998,+0.04%,345.89,345.4,8465,"09:33 ET"
BAC,"Bank of America Corp",30.7,-0.07,-0.23%,30.84,30.8,58604,"09:33 ET"
BAX,"Baxter International Inc",85.31,0.16,+0.19%,85.38,84.09,2545100,07/29/19
BBT,"BB&T Corp",51.59,-0.059999999999995,-0.12%,51.64,51.22,3409600,07/29/19
BBY,"Best Buy CO",77.58,-0.17,-0.22%,77.76,76.21,1662500,07/29/19
BDX,"Becton Dickinson and Company",253.99,-0.39999999999998,-0.16%,254.44,253.51,662800,07/29/19
BEN,"Franklin Resources",34.94,-0.020000000000003,-0.06%,34.94,34.55,2160300,07/29/19
BF.B,"Brown Forman Inc Cl B",55.37,0.14,+0.25%,55.43,54.68,1050300,07/29/19
BHGE,"Baker Hughes A Ge Co. Cl A",24.61,-0.23,-0.93%,24.8,24.49,3898200,07/29/19
BIIB,"Biogen Inc",238.92,0.70999999999998,+0.30%,239.14,232.32,1544800,07/29/19
BK,"Bank of New York Mellon Corp",47.52,-0.079999999999998,-0.17%,47.56,47.58,152,"09:34 ET"
BKNG,"Booking Holdings Inc",1954.49,-12.36,-0.63%,1962.88,1940,381700,07/29/19
BLK,Blackrock,477.91,-0.25999999999999,-0.05%,477.91,471.86,417900,07/29/19
BLL,"Ball Corp",72.01,-0.13,-0.18%,72.15,71.38,1897600,07/29/19
BMY,"Bristol-Myers Squibb Company",44.95,-0.41999999999999,-0.93%,45.28,45.2,2497,"09:34 ET"
BR,"Broadridge Financial Solutions Llc",134.4,-0.22,-0.16%,135.22,133.89,742200,07/26/19
BRK.B,"Berkshire Hathaway Cl B",209.9,0,0.00%,210,209.9,396,"09:34 ET"
BSX,"Boston Scientific Corp",42.12,0.039999999999999,+0.10%,42.12,41.87,4943200,07/29/19
BWA,"Borgwarner Inc",39.11,-0.049999999999997,-0.13%,39.23,39.16,113,"09:33 ET"
BXP,"Boston Properties",131.3,0.7,+0.54%,131.54,130.29,460600,07/26/19
C,"Citigroup Inc",72.09,-0.069999999999993,-0.10%,72.19,71.97,3032,"09:33 ET"
CAG,"Conagra Brands Inc",29.13,-0.030000000000001,-0.10%,29.14,29.38,2221,"09:33 ET"
CAH,"Cardinal Health",45.42,0.3,+0.66%,45.42,45.31,150,"09:32 ET"
CAT,"Caterpillar Inc",133.12,0.20000000000002,+0.15%,133.65,132.92,268,"09:34 ET"
CB,"Chubb Ltd",152.83,-0.13999999999999,-0.09%,152.94,149.97,1639600,07/29/19
CBOE,"CBOE Global Markets Inc",110.89,-0.26000000000001,-0.23%,110.89,110.22,489500,07/29/19
CBRE,"CBRE Group Inc",53.08,0.2,+0.38%,53.16,52.45,1156600,07/29/19
CBS,"CBS Corp",51.98,0.13,+0.25%,52.09,51.38,1502400,07/29/19
CCI,"Crown Castle International Corp",131.42,0.83999999999997,+0.64%,131.45,129.35,2143400,07/29/19
CCL,"Carnival Corp",47.06,-0.21,-0.44%,47.09,47,8224,"09:33 ET"
CDNS,"Cadence Design Sys",76.03,0.12,+0.16%,76.17,75.79,1251,"09:33 ET"
CE,"Celanese Corp",110.99,-0.17,-0.15%,110.99,109.16,683400,07/26/19
CELG,"Celgene Corp",92.46,-0.30000000000001,-0.32%,92.66,92.76,266,"09:34 ET"
CERN,"Cerner Corp",73.01,-0.099999999999994,-0.14%,73.44,73.34,100,"09:33 ET"
CF,"Cf Industries Holdings",48.06,-0.089999999999996,-0.19%,48.22,48.1,100,"09:34 ET"
CFG,"Citizens Financial Group Inc/Ri",37.81,0.13,+0.35%,37.92,38,5044,"09:33 ET"
CHD,"Church & Dwight Company",76,0.16,+0.21%,76,76,571,"09:33 ET"
CHRW,"C.H. Robinson Ww",85.1,-0.02000000000001,-0.02%,85.1,83.45,1344500,07/29/19
CHTR,"Charter Communicatio",393.24,-5.55,-1.39%,396.01,375.06,1608400,07/29/19
CI,"Cigna Corp",167.45,0.14999999999998,+0.09%,167.74,165.94,1801800,07/29/19
CINF,"Cincinnati Financial",107.88,0.049999999999997,+0.05%,107.89,106.49,550000,07/29/19
CL,"Colgate-Palmolive Company",74,0.31,+0.42%,74.09,71.79,4036100,07/29/19
CLX,"Clorox Company",166.3,-0.030000000000001,-0.02%,166.3,166.35,2169,"09:32 ET"
CMA,"Comerica Inc",73.2,0.13000000000001,+0.18%,73.28,71.67,1709800,07/29/19
CMCSA,"Comcast Corp A",44.49,-0.14,-0.31%,44.71,44.63,390,"09:33 ET"
CME,"CME Group Inc",201.57,0.5,+0.25%,202.03,201.14,216,"09:33 ET"
